max_reinforce,min_diff_A,max_freq_M0,max_freq_F1,final_adapt_diff_unlinked,this.order,n.gen,r12,r23,r34,s,n.unlinked,prop.replaced0,prop.replaced1,discrim
0.844009672276006,0.999178280298027,4.16504067382744e-4,0.606423897321936,NA,AMF,10000,0,0,0.5,0.53,0,0.002,0.002,1
0.849035131114887,0.999227390212326,3.91493224144345e-4,0.612802660226334,NA,AMF,10000,0,0,0.5,0.54,0,0.002,0.002,1
0.853882432279972,0.999274005154763,3.6776499652447e-4,0.619056725747183,NA,AMF,10000,0,0,0.5,0.55,0,0.002,0.002,1
0.858557660959343,0.999318258935272,3.45250086847372e-4,0.625187843395508,NA,AMF,10000,0,0,0.5,0.56,0,0.002,0.002,1
0.863066743754904,0.999360273504816,3.23883913036086e-4,0.63119779699844,NA,AMF,10000,0,0,0.5,0.57,0,0.002,0.002,1
0.867415448901502,0.999400165536815,3.03606536077865e-4,0.637088401088052,NA,AMF,10000,0,0,0.5,0.58,0,0.002,0.002,1
0.871609386702137,0.999438042690135,2.84361988716842e-4,0.6428614972459,NA,AMF,10000,0,0,0.5,0.59,0,0.002,0.002,1
0.875654010196311,0.999474003911862,2.66098251972304e-4,0.648518950443978,NA,AMF,10000,0,0,0.5,0.6,0,0.002,0.002,1
0.879554616070579,0.999508144008078,2.4876646214436e-4,0.654062645416885,NA,AMF,10000,0,0,0.5,0.61,0,0.002,0.002,1
0.883316345813637,0.999540551013335,2.32321361882702e-4,0.659494483094511,NA,AMF,10000,0,0,0.5,0.62,0,0.002,0.002,1
0.886944187112982,0.999571306415617,2.16720114067054e-4,0.664816377119843,NA,AMF,10000,0,0,0.5,0.63,0,0.002,0.002,1
0.890442975485817,0.999600487192741,2.01922903478697e-4,0.670030250472115,NA,AMF,10000,0,0,0.5,0.64,0,0.002,0.002,1
0.893817396133539,0.999628166517242,1.87892361951619e-4,0.675138032211756,NA,AMF,10000,0,0,0.5,0.65,0,0.002,0.002,1
0.897071986006551,0.999654412225093,1.74593185760944e-4,0.680141654360115,NA,AMF,10000,0,0,0.5,0.66,0,0.002,0.002,1
0.900211136064284,0.999679287396806,1.61992465834206e-4,0.685043048924027,NA,AMF,10000,0,0,0.5,0.67,0,0.002,0.002,1
0.903239093713987,0.999702852971875,1.50059134562425e-4,0.689844145072536,NA,AMF,10000,0,0,0.5,0.68,0,0.002,0.002,1
0.906159965411064,0.999725165848498,1.3876381819967e-4,0.69454686647088,NA,AMF,10000,0,0,0.5,0.69,0,0.002,0.002,1
0.908977719403294,0.999746279418311,1.2807901265635e-4,0.699153128774676,NA,AMF,10000,0,0,0.5,0.7,0,0.002,0.002,1
0.911696188601259,0.999766243505943,1.17978798494015e-4,0.70366483728566,NA,AMF,10000,0,0,0.5,0.71,0,0.002,0.002,1
0.914319073557477,0.999785106436465,1.08438465303231e-4,0.708083884768675,NA,AMF,10000,0,0,0.5,0.72,0,0.002,0.002,1
0.916849945537187,0.999802913415172,9.94348394528931e-5,0.712412149428439,NA,AMF,10000,0,0,0.5,0.73,0,0.002,0.002,1
0.91929224966434,0.999819707032447,9.09461059228836e-5,0.716651493043422,NA,AMF,10000,0,0,0.5,0.74,0,0.002,0.002,1
0.921649308127077,0.999835527359392,8.29514116662659e-5,0.720803759253355,NA,AMF,10000,0,0,0.5,0.75,0,0.002,0.002,1
0.92392432342787,0.999850412769177,7.54310634752344e-5,0.724870771996113,NA,AMF,10000,0,0,0.5,0.76,0,0.002,0.002,1
0.92612038166432,0.999864399880167,6.83664469966063e-5,0.728854334089087,NA,AMF,10000,0,0,0.5,0.77,0,0.002,0.002,1
0.928240455827632,0.999877523075876,6.17400003891608e-5,0.732756225949692,NA,AMF,10000,0,0,0.5,0.78,0,0.002,0.002,1
0.930287409106745,0.999889815024048,5.5534837860372e-5,0.73657820444933,NA,AMF,10000,0,0,0.5,0.79,0,0.002,0.002,1
